省份,城市,区域,院校名称,建校时间,隶属于,国家重点学科,硕士点,博士点,重点实验室,占地面积(亩),院校类型,办学类型,办学性质,电子邮箱,地址,官方网址,官方电话,中文文献数,985工程,211工程,双一流,强基
上海,上海市,静安区,上海行健职业学院,2001,上海市,0,0,0,0,159,财经类,专科（高职）,公办,xjzsb@shxj.cn,上海市静安区原平路55号,http://www.shxj.edu.cn/,021-66109601,18,,,,
上海,上海市,浦东新区,上海海事职业技术学院,1986,上海市,0,0,0,0,158,理工类,专科（高职）,公办,smaeo@96590.net,上海市浦东新区源深路158号,http://www.sma.edu.cn,021-58311677,4,,,,
上海,上海市,杨浦区,上海出版印刷高等专科学校,1953,上海市,0,0,0,0,303,综合类,专科（高职）,公办,,"校本部地址为杨浦区水丰路100号,营口路校区地址为杨浦区营口路101号",http://www.sppc.edu.cn,021-65674045,80,,,,
上海,上海市,浦东新区,上海思博职业技术学院,2003,上海市教委,0,0,0,0,498,财经类,专科（高职）,民办,,南汇惠南镇城南路1408号,http://www.shsipo.com,"021-68023335,021-68023336",9,,,,
上海,上海市,松江区,上海立达学院,2003,上海市教委,0,0,0,0,500,财经类,普通本科,民办,zsb@lidapoly.edu.cn,上海市松江区车亭公路1788 号,http://www.lidapoly.edu.cn/,"021-57803530,021-57803531",12,,,,
上海,上海市,宝山区,上海交通职业技术学院,2001,上海市,0,0,0,0,0,理工类,专科（高职）,公办,jtbgscs@126.com,"上海市宝山区呼兰路883号,上海市浦东新区下盐路2888号",http://www.scp.edu.cn/,"021-56996297,021-68159612",25,,,,
上海,上海市,嘉定区,上海工商职业技术学院,1993,上海市教委,0,0,0,0,337,综合类,专科（高职）,民办,,"上海市嘉定区外冈镇冈峰路68号,上海市青浦区华新镇新凤北路565号",http://www.sicp.edu.cn/,"021-60675958,021-59587531",12,,,,
上海,上海市,松江区,上海农林职业技术学院,1947,上海市,0,0,0,0,1448,农林类,专科（高职）,公办,snzb@sj.net.cn,上海市松江区中山二路658号,http://www.shafc.edu.cn/,021-57811385,55,,,,
上海,上海市,浦东新区,上海兴伟学院,2001,上海市教委,0,0,0,0,354,综合类,普通本科,民办,info@xingwei.edu.cn,上海市浦东新区勤奋路1号,http://www.xingwei.edu.cn/,021-68020761,1,,,,
上海,上海市,嘉定区,上海科学技术职业学院,1959,上海市,0,0,0,0,125,理工类,专科（高职）,公办,,上海市嘉定区金沙路280号,http://www.scst.edu.cn/,021-69990068,9,,,,
上海,上海市,金山区,上海中侨职业技术大学,1993,上海市教委,0,0,0,0,542,财经类,普通本科,民办,zhongqiaojyb@163.com,上海市金山区漕廊公路3888号,http://www.shzq.edu.cn,"021-31616099,021-31616077,021-31616088",21,,,,
江苏,南通市,崇川区,南通大学,1912,江苏省,0,22,3,1,3700,综合类,普通本科,公办,zsb@ntu.edu.cn,"南通市啬园路9号,启秀路19号",http://www.ntu.edu.cn,0513-85012170,211,,,,
上海,上海市,长宁区,中国人民解放军海军军医大学,1949,解放军总后勤部,0,20,10,0,0,军事类,普通本科,公办,Webmaster@smmu.edu.cn,上海市翔殷路800号,http://www.smmu.edu.cn/,021-81870199,8,,是,是,
江苏,淮安市,涟水县,炎黄职业技术学院,1999,江苏省教育厅,0,0,0,0,309,理工类,专科（高职）,民办,jinbiao_ma@163.com,江苏省淮安市涟水炎黄大道东1号,http://www.yhjyjt.cn,"0517-80816690,0517-89960111",15,,,,
上海,上海市,徐汇区,上海商学院,1950,上海市,0,0,0,0,650,财经类,普通本科,公办,zsb@sbs.edu.cn,"奉浦校区地址为上海市奉贤区奉浦大道123 号,交通路院区地址为上海市普陀区交通路1933号",https://www.sbs.edu.cn/,"021-54252879,021-64280270",59,,,,
上海,上海市,青浦区,上海政法学院,1984,上海市,0,3,0,0,1000,政法类,普通本科,公办,zhaosheng@shupl.edu.cn,上海市青浦区外青松公路7989号,http://www.shupl.edu.cn/,"021-39225065,021-39225175,021-39225177",157,,,,
安徽,阜阳市,颍州区,阜阳师范大学,1956,安徽省,0,5,0,0,1715,师范类,普通本科,公办,zsb2@fync.edu.cn,安徽省阜阳市清河西路100号,http://www.fynu.edu.cn/,0558-2596225,71,,,,
安徽,蚌埠市,龙子湖区,蚌埠医学院,1958,安徽省,0,6,0,0,1760,医药类,普通本科,公办,bbmczsk@126.com,安徽省蚌埠市东海大道2600号,http://www.bbmc.edu.cn,0552-3178336,88,,,,
江苏,南京市,江宁区,金陵科技学院,1958,江苏省,0,0,0,0,1525,理工类,普通本科,公办,zsb@jit.edu.cn,南京市江宁区弘景大道99号,https://www.jit.edu.cn/,"025-86188800,025-86188811",168,,,,
浙江,杭州市,下城区,浙江传媒学院,1978,浙江省,0,0,0,0,1305,语言类,普通本科,公办,cuzzs@cuz.edu.cn,"浙江省杭州市下沙高教园区学源街998号（杭州校区）,浙江省桐乡市梧桐街道逾桥西路998号（桐乡校区）",http://www.cuz.edu.cn/,"0571-86832600,0571-86832630",132,,,,
江苏,徐州市,云龙区,徐州工程学院,2002,江苏省,0,0,0,0,1991,综合类,普通本科,公办,zsb@xzit.edu.cn,江苏省徐州市云龙区丽水路2号,http://www.xzit.edu.cn,0516-83105200,220,,,,
江苏,泰州市,海陵区,江苏农牧科技职业学院,1958,江苏省,0,0,0,0,4600,农林类,专科（高职）,公办,jsmyzb@sina.com,江苏省泰州市凤凰东路8号,http://www.jsahvc.edu.cn/,"0523-86158999,0523-86158030,0523-86158666",434,,,,
江苏,南通市,崇川区,江苏工程职业技术学院,1912,江苏省,0,0,0,0,860,理工类,专科（高职）,公办,zhaoshengban@jcet.edu.cn,江苏省南通市青年中路87号,http://www.jcet.edu.cn/default.php,"0513-80560444,0513-80560555",227,,,,
江苏,淮安市,淮阴区,淮阴师范学院,1997,江苏省,0,0,0,0,2000,师范类,普通本科,公办,zsb@hytc.edu.cn,"江苏省淮安市长江西路111号（王营校区）,江苏省淮安市交通路71号（交通路校区）",http://www.hytc.edu.cn/,"0517-83526999,0517-83526555",124,,,,
江苏,南京市,栖霞区,南京工业职业技术大学,1918,江苏省,0,0,0,0,1360,理工类,普通本科,公办,zsb@niit.edu.cn,南京市栖霞区仙林大学城羊山北路1号,http://www.niit.edu.cn/,"400-080-1151,025-85864210",188,,,,
上海,上海市,浦东新区,上海电机学院,1953,上海市,0,0,0,0,1147,理工类,普通本科,公办,zhaosheng@sdju.edu.cn,"临港校区：上海市浦东新区水华路300号,闵行校区：上海市闵行区江川路690号",https://www.sdju.edu.cn/,021-38223045,52,,,,
江苏,南京市,雨花台区,江苏警官学院,1949,江苏省,0,0,0,0,999,政法类,普通本科,公办,zsb@jspi.cn,南京市浦口区石佛寺三宫48号,http://www.jspi.cn,025-52888910,93,,,,
江苏,苏州市,苏州工业园区,苏州百年职业学院,2005,江苏省教育厅,0,0,0,0,65,综合类,专科（高职）,中外合作办学,zsb@scc.edu.cn,苏州工业园区仁爱路1号,http://www.scc.edu.cn/,"0512-62955666,0512-62955777,0512-62955778",16,,,,
江苏,徐州市,泉山区,江苏建筑职业技术学院,1979,江苏省,0,0,0,0,1200,理工类,专科（高职）,公办,zsb@xzcat.edu.cn,江苏省徐州市泉山区学苑路26号,http://www.jsjzi.edu.cn/,"0516-83889021,0516-83888688",169,,,,
江苏,扬州市,邗江区,扬州环境资源职业技术学院,1956,江苏省,0,0,0,0,500,农林类,专科（高职）,公办,yzhzxyzb@126.com,江苏省扬州市润扬南路33号,,0514-87436188,2,,,,
江苏,常州市,武进区,常州纺织服装职业技术学院,1958,江苏省,0,0,0,0,825,理工类,专科（高职）,公办,zs@cztgi.edu.cn,常州市武进区滆湖中路53号,http://www.cztgi.edu.cn,"400-188-1251,0519-86336023,0519-86336019,151611739",245,,,,
江苏,南京市,浦口区,南京铁道职业技术学院,1941,江苏省,0,0,0,0,1145,理工类,专科（高职）,公办,810001155@qq.com,南京市浦口区珍珠南路65号,http://www.njrts.edu.cn,"400-108-1155,025-68204931",164,,,,
江苏,徐州市,泉山区,中国矿业大学徐海学院,1999,江苏省教育厅,0,33,17,0,1555,综合类,普通本科,民办,xhxyzsb@163.com,江苏省徐州市金山东路1号,http://xhxy.cumt.edu.cn,"0516-83884713,0516-83884716",116,,,,
江苏,南京市,栖霞区,南京森林警察学院,1953,公安部,0,0,0,0,1113,政法类,普通本科,公办,zsb_sl@163.com,江苏省南京市栖霞区仙林大学城文澜路28号,http://www.forestpolice.net/,025-85878735,110,,,,
江苏,常州市,武进区,常州工程职业技术学院,1958,江苏省,0,0,0,0,1120,理工类,专科（高职）,公办,yjxu@email.czie.net,江苏省常州市武进区涌湖中路33号,http://www.czie.edu.cn,0519-86332038,121,,,,
江苏,泰州市,海陵区,南京理工大学泰州科技学院,2004,江苏省教育厅,0,0,0,0,1003,理工类,普通本科,民办,zsb_tk@163.com,江苏省泰州市梅兰东路8号,http://www.nustti.edu.cn/,0523-86150066,75,,,,
江苏,南京市,浦口区,东南大学成贤学院,2003,江苏省教育厅,0,0,0,0,1200,综合类,普通本科,民办,cxzb@cxxy.seu.edu.cn,江苏省南京市江北新区东大路6号,http://cxxy.seu.edu.cn,"400-100-6862,025-58690717",174,,,,
江苏,扬州市,邗江区,扬州工业职业技术学院,2004,江苏省,0,0,0,0,1027,理工类,专科（高职）,公办,zjc@ypi.edu.cn,江苏省扬州市华扬西路199号,http://www.ypi.edu.cn/,"400-860-1392,0514-87433178,0514-87433188",212,,,,
江苏,南京市,栖霞区,南京特殊教育师范学院,1982,江苏省,0,0,0,0,501,师范类,普通本科,公办,zjb@njts.edu.cn,江苏省南京市栖霞区神农路1号,http://www.njts.edu.cn,"025-89668111,025-89668222",56,,,,
江苏,南京市,栖霞区,钟山职业技术学院,1998,江苏省教育厅,0,0,0,0,540,理工类,专科（高职）,民办,,江苏省南京市马群街169号,http://www.njzs.edu.cn,"025-84361515,025-84358712",47,,,,
江苏,常州市,武进区,常州信息职业技术学院,1962,江苏省,0,0,0,0,1042,理工类,专科（高职）,公办,zsc@ccit.js.cn,江苏省常州信息职业技术学院（鸣新中路22号）,http://www.ccit.js.cn/,"0519-86338038,0519-86338338",202,,,,
江苏,苏州市,吴中区,苏州职业大学,1981,江苏省,0,0,0,0,1262,理工类,专科（高职）,公办,,苏州国际教育园南区致能大道106号,http://www.jssvc.edu.cn/,"0512-66507345,0512-65213474",1,,,,
江苏,镇江市,句容市,南京财经大学红山学院,1999,江苏省教育厅,0,0,0,0,1300,综合类,普通本科,民办,qiaotouxiaoqu@sina.com,福建路校区位于南京市鼓楼区铁路北街128号,http://hs.nufe.edu.cn/,"025-83495939,025-87762151,025-83495804",49,,,,
江苏,南京市,玄武区,三江学院,1902,江苏省教育厅,0,0,0,0,1030,综合类,普通本科,民办,sjzs@sju.edu.cn,"主校区地址：江苏省南京市雨花台区铁心桥龙西路310号,东校区地址：江苏省南京市雨花台区铁心桥花神大道128号",https://www.sju.edu.cn/,025-52897064,118,,,,
安徽,宿州市,埇桥区,宿州学院,1949,安徽省,0,0,0,0,1146,综合类,普通本科,公办,szxyzjc@163.com,"安徽省宿州市教育园区（东校区）,安徽省宿州市汴河中路49号（西校区）",http://www.ahszu.edu.cn/,"0557-2875361,0557-2871081,0557-3685022",70,,,,
江苏,苏州市,姑苏区,常熟理工学院,1958,江苏省,0,0,0,0,1800,理工类,普通本科,公办,cslgzsb@cslg.edu.cn,"东湖校区：江苏省常熟市南三环路99号,东南校区：江苏省常熟市湖山路99号",http://www.cslg.edu.cn/,"0512-52251131,0512-52251136",152,,,,
江苏,宿迁市,宿城区,宿迁学院,2002,江苏省教育厅,0,0,0,0,1320,综合类,普通本科,公办,zb@sqc.edu.cn,江苏省宿迁市黄河南路399号,http://www.sqc.edu.cn/,"0527-96889666,0527-84202305",221,,,,
江苏,徐州市,鼓楼区,徐州工业职业技术学院,1964,江苏省,0,0,0,0,1100,理工类,专科（高职）,公办,zsb@mail.xzcit.cn,徐州市鼓楼区襄王路1号,http://www.xzcit.cn,"0516-85782003,0516-85782059,0516-85782000",97,,,,
浙江,宁波市,奉化区,宁波工程学院,1983,浙江省,0,0,0,0,1800,理工类,普通本科,公办,zsjy@nbut.cn,宁波市风华路201号,https://www.nbut.edu.cn/,"0574-87616666,0574-87616616",90,,,,
江苏,无锡市,新吴区,无锡科技职业学院,2003,江苏省,0,0,0,0,391,理工类,专科（高职）,公办,zsb@wxstc.cn,江苏省无锡市新吴区新锡路8号,https://www.wxstc.cn/,"0510-85345168,0510-85343250",109,,,,
江苏,常州市,新北区,建东职业技术学院,2003,江苏省教育厅,0,0,0,0,640,理工类,专科（高职）,民办,zjc@czjdu.com,江苏省常州市新北区嫩江路1号,http://www.czjdu.com,0519-85132710,11,,,,
安徽,合肥市,瑶海区,安徽中医药大学,1959,安徽省,30,5,3,0,1270,医药类,普通本科,公办,kszx@ahtcm.edu.cn,"合肥市新站区前江路1号（少荃湖校区）,合肥市梅山路103号（梅山路校区）",http://www.ahtcm.edu.cn,0551-68129059,460,,,,
江苏,镇江市,扬中市,金山职业技术学院,2004,江苏省教育厅,0,0,0,0,400,理工类,专科（高职）,民办,jinshan@jscu.cn,江苏省镇江市扬中金山路1号,http://www.jscu.cn/,"0511-88020127,0511-88020126,0511-88020200",9,,,,
浙江,宁波市,鄞州区,宁波诺丁汉大学,2004,浙江省教育厅,0,0,0,0,887,综合类,普通本科,中外合作办学,Admissions@nottingham.edu.cn,浙江省宁波市泰康东路199号,http://www.nottingham.edu.cn,"0574-88222460,0574-88180004",26,,,,
上海,上海市,嘉定区,上海师范大学天华学院,2005,上海市教委,0,0,0,0,505,综合类,普通本科,民办,crisgong@hotmail.com,上海市嘉定区胜辛北路1661号,https://www.sthu.cn/,"021-39966101,021-39966020",43,,,,
江苏,常州市,天宁区,常州工业职业技术学院,1958,江苏省教育厅,0,0,0,0,1000,理工类,专科（高职）,公办,hjh@czili.edu.cn,江苏省常州市武进区鸣新中路28号,http://www.czqgxy.cn/,"0519-86335008,0519-86335009",95,,,,
浙江,丽水市,莲都区,丽水学院,1907,浙江省,0,0,0,0,1008,师范类,普通本科,公办,zhaosheng@lsu.edu.cn,浙江省丽水市学院路1号,http://www.lsu.edu.cn/,"0578-2271179,0578-2276113",60,,,,
安徽,滁州市,琅琊区,滁州学院,1950,安徽省,0,0,0,0,1634,综合类,普通本科,公办,1270024362@qq.com,"琅琊校区：滁州市琅琊西路2号,会峰校区：滁州市会峰西路1号",http://www.chzu.edu.cn/,"0550-3518833,0550-3510048",65,,,,
上海,上海市,崇明区,上海外国语大学贤达经济人文学院,2004,上海市教委,0,0,0,0,500,财经类,普通本科,民办,ao@shisu.edu.cn,"虹口校区地址为上海市虹口区东体育会路390号,崇明校区地址为上海市崇明区东滩大道999号",http://www.xdsisu.edu.cn/,"021-51278024,021-51278025",44,,,,
江苏,淮安市,清江浦区,江苏食品药品职业技术学院,1960,江苏省,0,0,0,0,1269,理工类,专科（高职）,公办,spxyzjc@sina.com,江苏省淮安市高教园区枚乘东路4号,http://www.jsfpc.edu.cn/,"400-799-9556,13505231351",138,,,,
浙江,杭州市,钱塘区,浙江经贸职业技术学院,1979,浙江省,0,0,0,0,575,财经类,专科（高职）,公办,jmzs@163.com,杭州下沙高教园东区学林街280号,http://www.zjiet.edu.cn/,"0571-85126932,0571-86929796",115,,,,
江苏,南京市,秦淮区,中国人民解放军陆军工程大学,2017,解放军总参谋部,0,18,11,0,11422,军事类,普通本科,公办,jlgzb@jlonline.com,"海福巷校区：江苏省南京市秦淮区后标营路88号,双龙街校区：江苏省南京市江宁区双龙大道60号",,"025-84483366,84867716,84864675",15,,,,
浙江,杭州市,滨江区,浙江商业职业技术学院,1911,浙江省,0,0,0,0,592,财经类,专科（高职）,公办,szyzsb@zjvcc.cn,浙江省杭州市滨江区滨文路470号,http://www.zjbc.edu.cn/,"0571-58108888,0571-58108080",67,,,,
安徽,安庆市,迎江区,安庆师范大学,1897,安徽省,0,11,0,0,2844,师范类,普通本科,公办,zsc@aqtc.edu.cn,"菱湖校区：安庆市菱湖南路128号 ,龙山校区：安庆市集贤北路1318号",http://www.aqnu.edu.cn/,0556-5300117,48,,,,
浙江,金华市,东阳市,浙江横店影视职业学院,2008,浙江省教育厅,0,0,0,0,580,艺术类,专科（高职）,民办,hyxyzsb@126.com,浙江省东阳市横店镇都督南街138号,http://www.hcft.edu.cn/#/,"0579-86599999,0579-86013329,0579-86013352",24,,,,
浙江,宁波市,海曙区,浙江工商职业技术学院,1914,浙江省,0,0,0,0,958,财经类,专科（高职）,公办,zsb@zjbti.net.cn,浙江省宁波市海曙区机场路1988号,http://www.zjbti.net.cn/,"0574-87422148,0574-87422003",86,,,,
浙江,杭州市,萧山区,浙江建设职业技术学院,1958,浙江省,0,0,0,0,1000,理工类,专科（高职）,公办,zjc6765@126.com,浙江省杭州市萧山高教园区,http://www.zjjy.net/,"0571-82871234,0571-82606765",81,,,,
浙江,杭州市,钱塘区,浙江金融职业学院,1975,浙江省,0,0,0,0,612,财经类,专科（高职）,公办,zjfczs2008@126.com,浙江杭州市下沙高教园区东区学源街118号,http://www.zfc.edu.cn/,"0571-86739200,0571-86739000",153,,,,
浙江,杭州市,滨江区,浙江机电职业技术学院,1952,浙江省,0,0,0,0,918,理工类,专科（高职）,公办,zimezsb@163.com,杭州市滨江区滨文路528号,https://www.zime.edu.cn/,0571-87773018,98,,,,
浙江,台州市,椒江区,台州职业技术学院,2001,浙江省,0,0,0,0,661,综合类,专科（高职）,公办,zsjyc@tzvtc.com,台州市经济开发区学院路788号,https://www.tzvtc.edu.cn/,"0576-88656666,0576-88656200,0576-88660086,0576-886",69,,,,
浙江,湖州市,吴兴区,湖州职业技术学院,1979,浙江省,0,0,0,0,601,综合类,专科（高职）,公办,zsb@hzvtc.net,浙江省浙江省湖州市学府路299号,http://www.hzvtc.net.cn/,"0572-2363678,0572-2363667",78,,,,
江苏,无锡市,宜兴市,无锡工艺职业技术学院,1958,江苏省,0,0,0,0,1000,艺术类,专科（高职）,公办,wxgyzjb@wxgyxy.cn,江苏省宜兴市荆邑南路99号,http://www.wxgyxy.cn/,"0510-81710066,0510-81710088,0510-81710099",232,,,,
浙江,杭州市,钱塘区,浙江水利水电学院,1953,浙江省,0,0,0,0,1231,理工类,普通本科,公办,zsb@mail.zjwchc.com,浙江省杭州市下沙高教园区学林街583号,http://www.zjweu.edu.cn/,"0571-86929123,0571-86929232",69,,,,
江苏,苏州市,吴中区,苏州工业职业技术学院,2003,江苏省,0,0,0,0,500,理工类,专科（高职）,公办,zhaosheng@siit.cn,江苏省苏州吴中大道国际教育园致能大道1号,http://www.siit.edu.cn/,"0512-66551750,0512-66550867",104,,,,
江苏,苏州市,苏州工业园区,西交利物浦大学,2006,江苏省教育厅,0,44,18,0,610,综合类,普通本科,中外合作办学,admissions@xjtlu.edu.cn,苏州工业园区独墅湖科教创新区仁爱路111号,http://www.xjtlu.edu.cn,0512-88161888,39,,,,
江苏,南京市,栖霞区,南京信息职业技术学院,1953,江苏省,0,0,0,0,1000,理工类,专科（高职）,公办,njcit8018@163.com,南京市仙林大学城文澜路99号,http://www.njcit.cn/,"025-85842018,400-888-1154",111,,,,
江苏,南京市,江宁区,南京交通职业技术学院,1953,江苏省,0,0,0,0,921,理工类,专科（高职）,公办,jyxgc@126.com,南京市江宁科学园龙眠大道629号,http://www.njitt.edu.cn/,"025-86115806,025-86115860",141,,,,
江苏,无锡市,锡山区,无锡学院,2002,江苏省,0,0,0,0,1101,理工类,普通本科,公办,bjzb@nuist.edu.cn,江苏省无锡市锡山大道333号,http://www.bjxy.cn,0510-88532333,10,,,,
江苏,苏州市,虎丘区,苏州卫生职业技术学院,1911,江苏省,0,0,0,0,753,医药类,专科（高职）,公办,szwszhsh@szhct.edu.cn,"石湖校区：苏州国际教育园北区科华路28号,书院校区：苏州市书院巷20号",https://www.szhct.edu.cn/meitiguanzhu/,"0512-62690106,0512-62693002,0512-62693003",77,,,,
江苏,南京市,江宁区,金肯职业技术学院,2000,江苏省教育厅,0,0,0,0,832,理工类,专科（高职）,民办,zsb@jku.cn,江苏省南京市江宁区金铜路2号,http://www.jku.edu.cn/,025-86197141,34,,,,
江苏,苏州市,虎丘区,苏州经贸职业技术学院,1961,江苏省,0,0,0,0,820,财经类,专科（高职）,公办,xsc@szjm.edu.cn,苏州市国际教育园北区学府路287号,http://www.szjm.edu.cn,0512-62910011,189,,,,
江苏,无锡市,惠山区,江苏信息职业技术学院,2002,江苏省,0,0,0,0,1165,理工类,专科（高职）,公办,zjb@jsit.edu.cn,江苏省无锡市钱藕路1号,http://www.jsit.edu.cn/,"400-188-7270,0510-85811518",160,,,,
安徽,马鞍山市,雨山区,马鞍山职业技术学院,1984,安徽省,0,0,0,0,596,理工类,专科（高职）,公办,zsb@mastc.edu.cn,安徽省马鞍山市霍里山中路328号,http://www.mastc.edu.cn/,"0555-2753032,0555-2753322",37,,,,
安徽,合肥市,蜀山区,安徽医学高等专科学校,1955,安徽省,0,0,0,0,680,医药类,专科（高职）,公办,ahyzzsb@163.com,"安徽省合肥市芜湖路387号（芜湖路校区）,安徽省合肥市芙蓉路632号（芙蓉路校区）",http://www.ahyz.cn/,0551-62860000,63,,,,
江苏,盐城市,盐都区,江苏医药职业学院,1941,江苏省,0,0,0,0,694,医药类,专科（高职）,公办,ywzjb@126.com,"解放校区：江苏省盐城市解放南路283号,建军校区：江苏省盐城市建军西路156号",http://www.jsycmc.com/,"0515-68812266,0515-68812299",92,,,,
江苏,南通市,南通经济技术开发区,江苏航运职业技术学院,1960,江苏省,0,0,0,0,1000,理工类,专科（高职）,公办,zhaosheng@ntsc.edu.cn,江苏省南通经济技术开发区通盛大道185号,http://www.ntsc.edu.cn,"0513-85960968,0513-85960868",121,,,,
江苏,苏州市,姑苏区,苏州农业职业技术学院,1907,江苏省,0,0,0,0,1616,农林类,专科（高职）,公办,snzsb111@163.com,江苏省苏州市西园路279号,http://www.szai.edu.cn,"0512-66098507,0512-66098509",151,,,,
江苏,镇江市,丹徒区,江苏大学京江学院,1999,江苏省教育厅,0,0,0,0,850,综合类,普通本科,民办,jjxyyb@ujs.edu.cn,镇江市学府路301号,http://jjxy.ujs.edu.cn/,0511-88780120,69,,,,
江苏,无锡市,滨湖区,无锡职业技术学院,1959,江苏省,0,0,0,0,850,理工类,专科（高职）,公办,zsb@wxit.edu.cn,"（太湖校区）：江苏省无锡市大学城高浪西路1600号,（中桥校区）：江苏省无锡市中南路258号",http://www.wxit.edu.cn,"0510-81838888,0510-85916111",152,,,,
江苏,南京市,江宁区,江苏海事职业技术学院,1951,江苏省,0,0,0,0,1629,综合类,专科（高职）,公办,jmizsb@126.com,南京市江宁大学城格致路309号,http://www1.jmi.edu.cn/,"025-86176007,400-828-1150",127,,,,
江苏,无锡市,惠山区,江南影视艺术职业学院,2003,江苏省教育厅,0,0,0,0,505,艺术类,专科（高职）,民办,jnyszb@126.com,江苏省无锡市钱胡路812号,http://www.jnys.cn,"0510-85551188,0510-85551881,0510-85551088",11,,,,
江苏,泰州市,海陵区,南京师范大学泰州学院,2004,江苏省教育厅,0,1,0,0,1035,师范类,普通本科,民办,,江苏省泰州市海陵区济川东路96号,https://www.nnutc.edu.cn/,"0523-86152006,0523-86152007",101,,,,
上海,上海市,松江区,上海视觉艺术学院,2005,上海市教委,0,0,0,0,1000,艺术类,普通本科,民办,,上海市松江区文翔路2200号,http://www.siva.edu.cn/,021-67823033,28,,,,
江苏,镇江市,句容市,江苏农林职业技术学院,1923,江苏省,0,0,0,0,6000,农林类,专科（高职）,公办,tang326bo@163.com,南京新东郊江苏省句容市文昌东路19号,http://www.jsafc.edu.cn/,"400-105-6166,0511-87290888",198,,,,
江苏,扬州市,邗江区,江海职业技术学院,1999,江苏省教育厅,0,0,0,0,1040,理工类,专科（高职）,民办,,江苏省扬州市扬子江南路5号,http://www.jhu.cn,"0514-87579903,0514-87579643",93,,,,
安徽,亳州市,谯城区,亳州学院,1909,安徽省,0,0,0,0,925,综合类,普通本科,公办,shenym@126.com,安徽省亳州市经济开发区汤王大道2266号,http://www.bzuu.edu.cn/,"0558-5598588,0558-5367133,0558-5367131",49,,,,
江苏,连云港市,海州区,连云港师范高等专科学校,1914,江苏省,0,0,0,0,1000,师范类,专科（高职）,公办,lygszzs@126.com,连云港市海州区圣湖路28号,http://www.lygsf.cn/,"0518-85986111,0518-85986168",66,,,,
江苏,南京市,海州区,江苏城市职业学院,2006,江苏省,0,0,0,0,0,综合类,专科（高职）,公办,jscvc@sohu.com,江苏南京市江东北路399号,http://www.jscvc.cn,"025-86265383,025-86265382,025-86265381",29,,,,
江苏,泰州市,靖江市,常州大学怀德学院,2002,江苏省教育厅,0,0,0,0,748,理工类,普通本科,民办,zsb@cczu.edu.cn,江苏省靖江市新港大道136号,http://hdc.cczu.edu.cn/,"0523-85120288,0523-85120299",65,,,,
江苏,南通市,通州区,南通理工学院,2000,江苏省教育厅,0,0,0,0,1200,综合类,普通本科,民办,zjb@ntpc.edu.cn,"南通校区（校本部）：江苏省南通市港闸经济开发区永兴路14号,海安新校区：江苏省海安市经济技术开发区上湖大道1号",https://www.ntit.edu.cn/,"0513-85601616,0513-85601818,0513-85601919",157,,,,
上海,上海市,徐汇区,上海理工大学中英国际学院,2000,上海理工大学,0,0,0,0,0,理工类,普通本科,中外合作办学,zhaosheng@sbc-usst.edu.cn,上海市徐汇区复兴中路1195号,https://www.sbc.usst.edu.cn/,021-64319899,7,,,,
安徽,合肥市,瑶海区,安徽涉外经济职业学院,2001,安徽省教育厅,0,0,0,0,680,财经类,专科（高职）,民办,,"安徽省合肥经济技术开发区金寨南路218号（南校区）,安徽省合肥市新站区职教城学府路1号（北校区）",http://www.ahaec-edu.cn/,"0551-64380133,0551-63858398",4,,,,
江苏,无锡市,滨湖区,无锡商业职业技术学院,1965,江苏省,0,0,0,0,1600,财经类,专科（高职）,公办,zhaoban@jscpu.com,江苏省无锡市钱胡路809号,http://www.wxic.edu.cn/,"0510-83270099,0510-83270055",192,,,,
江苏,南京市,江宁区,江苏经贸职业技术学院,1952,江苏省,0,0,0,0,1048,财经类,专科（高职）,公办,jsjmzb@163.com,南京市江宁区龙眠大道180号,https://www.jvic.edu.cn/,"025-52710189,025-52710208",192,,,,
江苏,无锡市,滨湖区,无锡南洋职业技术学院,1998,江苏省教育厅,0,0,0,0,0,理工类,专科（高职）,民办,xyzb@wsoc.edu.cn,江苏无锡太湖山水城旅游区山水西路88号,http://www.wsoc.edu.cn/,"0510-85551105,0510-85553200",74,,,,
上海,上海市,浦东新区,上海民远职业技术学院,1998,上海市教委,0,0,0,0,120,财经类,专科（高职）,民办,,上海市浦东新区唐陆路3892号,http://www.shmy.edu.cn,"021-68796666,021-58966900",1,,,,
上海,上海市,浦东新区,上海电影艺术职业学院,2003,上海市教委,0,0,0,0,65,艺术类,专科（高职）,民办,sfaa50271101@126.com,上海市浦东新区达尔文路188号,http://www.shfilmart.com,"021-50273668,021-50392087",4,,,,
上海,上海市,浦东新区,上海工商外国语职业学院,2001,上海市教委,0,0,0,0,320,语言类,专科（高职）,民办,,上海市浦东新区惠南镇观海路505号,http://www.sicp.edu.cn/,"021-68020551,021-68021818",12,,,,
浙江,杭州市,滨江区,杭州医学院,1925,浙江省,0,3,0,0,754,医药类,普通本科,公办,zjmczsb@126.com,浙江省杭州市滨江区滨文路481号,http://www.hmc.edu.cn/,0571-87692654,75,,,,
浙江,宁波市,鄞州区,宁波城市职业技术学院,1992,浙江省,0,0,0,0,420,综合类,专科（高职）,公办,zsjyc@nbcc.cn,浙江宁波高教园区学府路9号,http://www.nbcc.cn/,"0574-88122233,0574-88122255,0574-88122266",76,,,,
